date,Device category,Gender,Age,City,Kanal ID,Article ID,Total users,Views,categoryauto_new_rank1
20250727,desktop,female,35-44,South Tangerang,2,(not set),12,32,
20250727,desktop,female,35-44,Sukabumi,(not set),(not set),11,18,
20250727,desktop,female,35-44,Surabaya,(not set),(not set),115,161,
20250727,desktop,female,35-44,Surabaya,2,(not set),14,22,
20250727,desktop,female,35-44,Surakarta,(not set),(not set),44,65,
20250727,desktop,female,35-44,Tangerang,(not set),(not set),42,73,
20250727,desktop,female,35-44,Tangerang,2,(not set),11,14,
20250727,desktop,female,35-44,Tasikmalaya,(not set),(not set),11,19,
20250727,desktop,female,35-44,Teluk Ambon,(not set),(not set),11,20,
20250727,desktop,female,35-44,Yogyakarta,(not set),(not set),25,34,
20250727,desktop,female,45-54,Balikpapan,(not set),(not set),33,69,
20250727,desktop,female,45-54,Balikpapan,2,(not set),15,50,
20250727,desktop,female,45-54,Banda Aceh,(not set),(not set),28,39,
20250727,desktop,female,45-54,Bandar Lampung,(not set),(not set),41,78,
20250727,desktop,female,45-54,Bandar Lampung,2,(not set),12,22,
20250727,desktop,female,45-54,Bandung,(not set),(not set),179,313,
20250727,desktop,female,45-54,Bandung,2,(not set),68,164,
20250727,desktop,female,45-54,Banjarmasin,(not set),(not set),13,17,
20250727,desktop,female,45-54,Batam,(not set),(not set),37,104,
20250727,desktop,female,45-54,Batam,2,(not set),18,41,
20250727,desktop,female,45-54,Bekasi,(not set),(not set),116,301,
20250727,desktop,female,45-54,Bekasi,2,(not set),71,163,
20250727,desktop,female,45-54,Bekasi,2-207-431-1696,8030378,10,95,
20250727,desktop,female,45-54,Bekasi Regency,(not set),(not set),51,100,
20250727,desktop,female,45-54,Bekasi Regency,2,(not set),31,56,
20250727,desktop,female,45-54,Bogor,(not set),(not set),36,157,
20250727,desktop,female,45-54,Bogor,2,(not set),27,61,
20250727,desktop,female,45-54,Cirebon,(not set),(not set),14,29,
20250727,desktop,female,45-54,Denpasar,(not set),(not set),62,122,
20250727,desktop,female,45-54,Denpasar,2,(not set),15,33,
20250727,desktop,female,45-54,Depok,(not set),(not set),140,363,
20250727,desktop,female,45-54,Depok,2,(not set),84,154,
20250727,desktop,female,45-54,Depok,2-605,(not set),12,29,
20250727,desktop,female,45-54,Gunung Putri,(not set),(not set),14,24,
20250727,desktop,female,45-54,Jakarta,(not set),(not set),757,2589,
20250727,desktop,female,45-54,Jakarta,2,(not set),595,1308,
20250727,desktop,female,45-54,Jakarta,2-105-1010-398,8031234,14,15,
